img.path,H.mode,H.std,S.mode,S.std,V.mode,V.std
../clean_imgs/playboy_imgs/Playboy - 1958-01 - cover.jpeg,172,0.00484525645152,180,0.00431249942631,191,0.00446038646623
../clean_imgs/playboy_imgs/Playboy - 1958-02 - cover.jpeg,74,0.00398544454947,160,0.00661008153111,142,0.00696416804567
../clean_imgs/playboy_imgs/Playboy - 1958-03 - cover.jpeg,34,0.00758107332513,26,0.00520422868431,32,0.00490627717227
../clean_imgs/playboy_imgs/Playboy - 1958-04 - cover.jpeg,62,0.0075450562872,70,0.00596707360819,57,0.00535701261833
../clean_imgs/playboy_imgs/Playboy - 1958-05 - cover.jpeg,104,0.00417818082497,159,0.00424400670454,177,0.00477649783716
../clean_imgs/playboy_imgs/Playboy - 1958-06 - cover.jpeg,20,0.0108776222914,3,0.0133743118495,3,0.0133246146142
../clean_imgs/playboy_imgs/Playboy - 1958-07 - cover.jpeg,76,0.00689308578148,217,0.00524944160134,228,0.00624037906528
../clean_imgs/playboy_imgs/Playboy - 1958-08 - cover.jpeg,128,0.00613968959078,254,0.0194231476635,254,0.0192247852683
../clean_imgs/playboy_imgs/Playboy - 1958-09 - cover.jpeg,166,0.00719837518409,197,0.00383552303538,141,0.00359272770584
../clean_imgs/playboy_imgs/Playboy - 1958-10 - cover.jpeg,118,0.00430789962411,79,0.00417826231569,159,0.00458527496085
../clean_imgs/playboy_imgs/Playboy - 1958-11 - cover.jpeg,42,0.00468574883416,231,0.0156260784715,237,0.0167712401599
../clean_imgs/playboy_imgs/Playboy - 1958-12 - cover.jpeg,32,0.00545404246077,248,0.00979064032435,252,0.0115871410817
../clean_imgs/playboy_imgs/Playboy - 1959-01 - cover.jpeg,35,0.00920345354825,39,0.00719603803009,39,0.00709491269663
../clean_imgs/playboy_imgs/Playboy - 1959-02 - cover.jpeg,3,0.0128565011546,3,0.0126162599772,160,0.00416913907975
../clean_imgs/playboy_imgs/Playboy - 1959-03 - cover.jpeg,82,0.0146000366658,221,0.0172538198531,243,0.0171971023083
../clean_imgs/playboy_imgs/Playboy - 1959-04 - cover.jpeg,104,0.0086145568639,61,0.00875069480389,47,0.0101161208004
../clean_imgs/playboy_imgs/Playboy - 1959-05 - cover.jpeg,178,0.00405695475638,210,0.00522459344938,210,0.00579502433538
../clean_imgs/playboy_imgs/Playboy - 1959-06 - cover.jpeg,92,0.0124166347086,191,0.00948403775692,188,0.009107561782
../clean_imgs/playboy_imgs/Playboy - 1959-07 - cover.jpeg,42,0.0060131684877,212,0.00864620599896,193,0.00817686505616
../clean_imgs/playboy_imgs/Playboy - 1959-08 - cover.jpeg,1,0.0331385433674,4,0.0205597970635,186,0.0131145166233
../clean_imgs/playboy_imgs/Playboy - 1959-09 - cover.jpeg,44,0.0071244048886,49,0.00489562284201,82,0.00361432763748
../clean_imgs/playboy_imgs/Playboy - 1959-10 - cover.jpeg,1,0.00503042340279,255,0.0409268215299,255,0.0402435436845
../clean_imgs/playboy_imgs/Playboy - 1959-11 - cover.jpeg,6,0.029132142663,0,0.028797371313,1,0.0306969545782
../clean_imgs/playboy_imgs/Playboy - 1959-12 - cover.jpeg,95,0.00927235931158,184,0.00612776959315,233,0.00869001355022
../clean_imgs/playboy_imgs/Playboy - 1960-01 - cover.jpeg,131,0.00586606701836,255,0.00518791843206,255,0.00537395756692
../clean_imgs/playboy_imgs/Playboy - 1960-02 - cover.jpeg,44,0.0042481739074,254,0.0198576375842,254,0.0210958123207
../clean_imgs/playboy_imgs/Playboy - 1960-03 - cover.jpeg,172,0.00610987050459,226,0.00568183045834,244,0.00702337734401
../clean_imgs/playboy_imgs/Playboy - 1960-04 - cover.jpeg,29,0.00946462526917,8,0.00753750558943,8,0.007024734281
../clean_imgs/playboy_imgs/Playboy - 1960-05 - cover.jpeg,70,0.00374965951778,255,0.00368844973855,255,0.00312887807377
../clean_imgs/playboy_imgs/Playboy - 1960-06 - cover.jpeg,86,0.00526835722849,15,0.00230286712758,235,0.00252608535811
../clean_imgs/playboy_imgs/Playboy - 1960-07 - cover.jpeg,179,0.00375220621936,255,0.00345848011784,255,0.00441412534565
../clean_imgs/playboy_imgs/Playboy - 1960-08 - cover.jpeg,179,0.00980509631336,210,0.0114562939852,213,0.0110516780987
../clean_imgs/playboy_imgs/Playboy - 1960-09 - cover.jpeg,63,0.00922704581171,255,0.00548837846145,168,0.00591116584837
../clean_imgs/playboy_imgs/Playboy - 1960-10 - cover.jpeg,43,0.00518490327522,255,0.0136443208903,253,0.0195765253156
../clean_imgs/playboy_imgs/Playboy - 1960-11 - cover.jpeg,27,0.0234108176082,4,0.0176268443465,8,0.0178282167763
../clean_imgs/playboy_imgs/Playboy - 1960-12 - cover.jpeg,68,0.00385703705251,231,0.011279899627,235,0.0116110946983
../clean_imgs/playboy_imgs/Playboy - 1961-01 - cover.jpeg,179,0.00264600571245,203,0.00352245848626,213,0.00392530905083
../clean_imgs/playboy_imgs/Playboy - 1961-02 - cover.jpeg,32,0.0138636343181,16,0.0091605251655,180,0.00779747962952
../clean_imgs/playboy_imgs/Playboy - 1961-03 - cover.jpeg,177,0.00546297524124,208,0.00471280375496,225,0.00613187300041
../clean_imgs/playboy_imgs/Playboy - 1961-04 - cover.jpeg,102,0.00498145911843,255,0.00472934031859,255,0.00506175076589
../clean_imgs/playboy_imgs/Playboy - 1961-05 - cover.jpeg,132,0.00588381430134,255,0.00370754417963,238,0.00537273660302
../clean_imgs/playboy_imgs/Playboy - 1961-06 - cover.jpeg,41,0.00400215713307,255,0.0140302274376,253,0.0172470584512
../clean_imgs/playboy_imgs/Playboy - 1961-07 - cover.jpeg,16,0.00992990657687,7,0.0108196791261,255,0.00701370136812
../clean_imgs/playboy_imgs/Playboy - 1961-08 - cover.jpeg,120,0.00472713448107,255,0.00608066143468,255,0.00684199854732
../clean_imgs/playboy_imgs/Playboy - 1961-09 - cover.jpeg,178,0.00710748881102,255,0.00472277030349,232,0.00485453382134
../clean_imgs/playboy_imgs/Playboy - 1961-10 - cover.jpeg,30,0.00918598938733,28,0.00760087184608,255,0.00421265838668
../clean_imgs/playboy_imgs/Playboy - 1961-11 - cover.jpeg,26,0.0126711558551,11,0.010475971736,27,0.00833509955555
../clean_imgs/playboy_imgs/Playboy - 1961-12 - cover.jpeg,102,0.0120964599773,146,0.00820784177631,160,0.0079650413245
../clean_imgs/playboy_imgs/Playboy - 1962-01 - cover.jpeg,57,0.0049287811853,255,0.0030255431775,255,0.00211414601654
